sale_id,sale_datetime,model_id,shoe_size,quantity_sold,total_sale_amount,discount_amount,store_name,payment_method,receipt_number,cashier_id,return_flag
26,2026-03-01 14:53:03,191,41.0,1,4050.00,0.00,radeo_drive,card,RAD-20260301-01961,RAD_03,f
27,2026-03-01 14:56:23,231,39.0,1,7090.00,0.00,nord,sbp,NOR-20260301-00532,NOR_03,f
28,2026-03-01 15:02:42,84,39.0,1,3990.00,0.00,atmosphera,card,ATM-20260301-01514,ATM_04,f
29,2026-03-01 15:04:40,201,39.0,1,11600.00,0.00,nord,card,NOR-20260301-00531,NOR_02,f
30,2026-03-01 15:05:23,205,41.0,1,5082.50,267.50,nord,card,NOR-20260301-00542,NOR_01,f
31,2026-03-01 15:07:23,58,41.0,1,8790.00,0.00,atmosphera,card,ATM-20260301-01505,ATM_04,f
32,2026-03-01 15:33:20,245,38.0,1,8217.50,432.50,atmosphera,sbp,ATM-20260301-01523,ATM_04,f
33,2026-03-01 15:36:05,271,39.0,1,4790.00,0.00,academ,card,ACA-20260301-00014,ACA_06,f
34,2026-03-01 15:36:40,462,43.0,1,19600.00,0.00,nord,cash,NOR-20260301-00530,NOR_03,f
35,2026-03-01 15:41:58,50,39.0,1,9700.00,0.00,city_mall,card,CIT-20260301-01050,CIT_06,f
36,2026-03-01 15:55:59,51,36.0,1,5240.00,1310.00,nord,sbp,NOR-20260301-00541,NOR_03,f
37,2026-03-01 16:12:04,327,41.0,2,24906.00,10674.00,radeo_drive,card,RAD-20260301-01965,RAD_03,f
38,2026-03-01 16:21:07,317,40.0,1,4790.00,0.00,academ,card,ACA-20260301-00007,ACA_03,f
39,2026-03-01 16:33:12,215,38.0,1,8690.00,0.00,atmosphera,card,ATM-20260301-01518,ATM_04,t
40,2026-03-01 16:39:58,475,40.0,1,12950.00,0.00,city_mall,sbp,CIT-20260301-01046,CIT_03,f
41,2026-03-01 16:44:50,359,39.0,1,8000.00,0.00,radeo_drive,card,RAD-20260301-01963,RAD_03,f
42,2026-03-01 17:06:58,249,39.0,1,3562.50,187.50,radeo_drive,card,RAD-20260301-01953,RAD_06,f
43,2026-03-01 17:20:53,149,42.0,1,5300.00,0.00,nord,sbp,NOR-20260301-00536,NOR_03,f
44,2026-03-01 17:29:37,452,42.0,1,5272.50,277.50,city_mall,card,CIT-20260301-01049,CIT_06,f
45,2026-03-01 17:33:16,310,41.0,1,4125.00,1375.00,academ,card,ACA-20260301-00005,ACA_02,f
46,2026-03-01 17:33:34,110,37.0,1,7837.50,412.50,city_mall,card,CIT-20260301-01043,CIT_05,f
47,2026-03-01 17:34:25,459,43.0,1,5900.00,0.00,nord,card,NOR-20260301-00535,NOR_02,f
48,2026-03-01 17:40:42,287,37.0,1,9250.00,0.00,nord,card,NOR-20260301-00534,NOR_01,f
49,2026-03-01 17:41:28,382,40.0,1,16100.00,0.00,city_mall,card,CIT-20260301-01047,CIT_03,f
50,2026-03-01 17:48:03,98,39.5,1,7490.00,0.00,nord,card,NOR-20260301-00538,NOR_02,f
51,2026-03-01 17:48:43,142,41.0,1,9360.00,2340.00,radeo_drive,sbp,RAD-20260301-01958,RAD_06,f
52,2026-03-01 17:53:51,155,40.0,1,7050.00,0.00,academ,card,ACA-20260301-00013,ACA_03,f
53,2026-03-01 17:55:59,417,42.0,1,5346.50,943.50,atmosphera,card,ATM-20260301-01522,ATM_06,t
54,2026-03-01 18:05:45,97,35.5,2,13000.00,0.00,nord,card,NOR-20260301-00544,NOR_02,f
55,2026-03-01 18:09:10,115,39.0,1,8550.00,0.00,city_mall,card,CIT-20260301-01054,CIT_06,f
56,2026-03-01 18:25:23,363,41.0,1,5312.50,937.50,academ,card,ACA-20260301-00002,ACA_06,f
57,2026-03-01 18:29:02,356,41.0,1,7965.00,885.00,radeo_drive,card,RAD-20260301-01955,RAD_03,f
58,2026-03-01 18:36:02,10,38.0,1,4140.00,460.00,radeo_drive,cash,RAD-20260301-01956,RAD_06,f
59,2026-03-01 18:36:24,224,41.0,1,9900.00,0.00,radeo_drive,sbp,RAD-20260301-01964,RAD_03,f
60,2026-03-01 18:45:01,462,39.0,1,19600.00,0.00,atmosphera,card,ATM-20260301-01515,ATM_05,f
61,2026-03-01 18:48:03,257,37.0,1,8550.00,450.00,academ,card,ACA-20260301-00003,ACA_06,f
62,2026-03-01 18:48:08,442,42.0,2,10700.00,0.00,atmosphera,card,ATM-20260301-01511,ATM_05,f
63,2026-03-01 19:02:26,208,39.0,1,9850.00,0.00,atmosphera,card,ATM-20260301-01509,ATM_04,f
64,2026-03-01 19:07:45,82,41.0,1,8950.00,0.00,city_mall,card,CIT-20260301-01051,CIT_05,f
65,2026-03-01 19:20:21,198,43.0,1,4850.00,0.00,radeo_drive,card,RAD-20260301-01954,RAD_06,f
66,2026-03-01 19:32:58,167,42.0,1,14500.00,0.00,academ,cash,ACA-20260301-00009,ACA_06,f
67,2026-03-01 19:34:49,463,42.0,1,15032.00,3758.00,academ,card,ACA-20260301-00015,ACA_06,f
68,2026-03-01 19:43:56,163,40.0,1,5200.00,0.00,academ,card,ACA-20260301-00006,ACA_02,f
69,2026-03-01 19:46:47,16,42.0,1,8967.50,1582.50,radeo_drive,card,RAD-20260301-01966,RAD_06,f
70,2026-03-01 19:56:46,47,39.0,2,17100.00,0.00,academ,card,ACA-20260301-00008,ACA_03,f
71,2026-03-01 20:31:01,306,41.0,1,4515.00,1935.00,atmosphera,sbp,ATM-20260301-01506,ATM_06,f
72,2026-03-01 20:36:54,53,39.0,1,10150.00,0.00,nord,sbp,NOR-20260301-00537,NOR_03,f
73,2026-03-01 20:49:10,277,37.0,1,10300.00,0.00,city_mall,card,CIT-20260301-01053,CIT_02,f
74,2026-03-01 20:57:21,310,39.0,1,5500.00,0.00,atmosphera,card,ATM-20260301-01510,ATM_04,f
75,2026-03-01 21:03:59,126,37.0,1,7990.00,0.00,atmosphera,card,ATM-20260301-01507,ATM_04,f
76,2026-03-01 21:34:16,72,39.0,1,8300.00,0.00,academ,card,ACA-20260301-00001,ACA_02,f
77,2026-03-01 21:42:39,446,44.0,1,6250.00,0.00,atmosphera,card,ATM-20260301-01513,ATM_04,f
78,2026-03-01 21:45:24,247,39.0,1,14490.00,0.00,city_mall,card,CIT-20260301-01052,CIT_06,f
79,2026-03-02 10:42:41,437,43.0,1,4950.00,0.00,academ,card,ACA-20260302-00018,ACA_06,f
80,2026-03-02 11:11:10,135,38.0,2,19800.00,2200.00,city_mall,card,CIT-20260302-01063,CIT_04,f
81,2026-03-02 11:22:27,143,38.0,1,7350.00,0.00,nord,sbp,NOR-20260302-00553,NOR_06,f
82,2026-03-02 11:24:52,125,39.0,1,12350.00,650.00,atmosphera,card,ATM-20260302-01528,ATM_05,f
83,2026-03-02 11:37:30,8,35.0,1,3800.00,950.00,academ,cash,ACA-20260302-00035,ACA_02,f
84,2026-03-02 11:38:18,79,37.0,1,13590.00,0.00,nord,card,NOR-20260302-00555,NOR_03,f
85,2026-03-02 12:07:55,291,41.0,1,11900.00,0.00,nord,cash,NOR-20260302-00546,NOR_06,f
86,2026-03-02 13:12:00,350,41.0,1,4590.00,510.00,city_mall,card,CIT-20260302-01056,CIT_04,f
87,2026-03-02 13:13:59,13,43.0,1,7790.00,0.00,academ,sbp,ACA-20260302-00017,ACA_02,f
88,2026-03-02 13:19:36,342,42.0,2,12800.00,0.00,atmosphera,card,ATM-20260302-01533,ATM_06,f
89,2026-03-02 13:43:26,282,41.0,1,5850.00,0.00,radeo_drive,card,RAD-20260302-01968,RAD_04,t
90,2026-03-02 13:44:25,89,36.0,1,5100.00,0.00,nord,card,NOR-20260302-00563,NOR_03,f
91,2026-03-02 13:51:09,42,40.0,1,12350.00,0.00,nord,card,NOR-20260302-00565,NOR_06,f
92,2026-03-02 13:53:41,170,38.0,1,11750.00,0.00,nord,card,NOR-20260302-00566,NOR_03,f
93,2026-03-02 14:19:46,424,39.0,1,4053.00,1737.00,city_mall,card,CIT-20260302-01055,CIT_03,f
94,2026-03-02 14:24:16,86,38.0,1,6800.00,0.00,academ,cash,ACA-20260302-00032,ACA_06,f
95,2026-03-02 14:28:53,120,40.0,1,11550.00,0.00,radeo_drive,sbp,RAD-20260302-01969,RAD_05,f
96,2026-03-02 14:37:47,293,37.0,1,9350.00,0.00,academ,cash,ACA-20260302-00034,ACA_02,f
97,2026-03-02 15:04:30,403,44.0,1,8040.00,2010.00,atmosphera,card,ATM-20260302-01531,ATM_05,f
98,2026-03-02 15:06:20,210,38.0,1,12850.00,0.00,atmosphera,card,ATM-20260302-01527,ATM_05,f
99,2026-03-02 15:06:34,46,38.0,1,4250.00,750.00,atmosphera,card,ATM-20260302-01524,ATM_05,f
100,2026-03-02 15:23:34,417,40.0,1,6290.00,0.00,nord,card,NOR-20260302-00560,NOR_03,f
101,2026-03-02 15:23:59,454,42.0,1,12650.00,0.00,nord,sbp,NOR-20260302-00559,NOR_06,f
102,2026-03-02 15:40:47,117,38.0,1,6700.00,0.00,nord,card,NOR-20260302-00551,NOR_03,f
103,2026-03-02 15:41:05,53,39.0,1,10150.00,0.00,nord,card,NOR-20260302-00554,NOR_03,f
104,2026-03-02 15:54:15,116,37.0,1,5190.00,0.00,nord,card,NOR-20260302-00567,NOR_03,f
105,2026-03-02 15:55:46,424,38.0,1,5790.00,0.00,academ,card,ACA-20260302-00025,ACA_02,f
106,2026-03-02 16:03:50,147,38.0,1,11200.00,0.00,nord,card,NOR-20260302-00557,NOR_03,f
107,2026-03-02 16:10:03,419,44.0,1,9400.00,0.00,atmosphera,sbp,ATM-20260302-01526,ATM_06,f
108,2026-03-02 16:17:35,252,39.0,1,6200.00,0.00,atmosphera,card,ATM-20260302-01532,ATM_05,f
109,2026-03-02 16:25:46,20,37.0,1,13700.00,0.00,academ,card,ACA-20260302-00026,ACA_06,f
110,2026-03-02 16:37:14,151,40.0,1,3442.50,607.50,academ,card,ACA-20260302-00020,ACA_02,f
111,2026-03-02 16:41:22,191,40.0,1,3037.50,1012.50,city_mall,card,CIT-20260302-01061,CIT_01,f
112,2026-03-02 16:48:55,439,41.0,1,8590.00,0.00,nord,card,NOR-20260302-00549,NOR_03,f
113,2026-03-02 17:01:37,95,40.5,2,14700.00,0.00,nord,cash,NOR-20260302-00561,NOR_03,f
114,2026-03-02 17:02:13,105,39.0,1,10600.00,0.00,radeo_drive,sbp,RAD-20260302-01970,RAD_05,f
115,2026-03-02 17:06:06,241,39.0,1,18250.00,0.00,academ,cash,ACA-20260302-00024,ACA_06,f
116,2026-03-02 17:15:17,418,43.0,1,7011.00,779.00,academ,card,ACA-20260302-00022,ACA_06,f
117,2026-03-02 17:19:13,420,38.0,1,12650.00,0.00,nord,card,NOR-20260302-00556,NOR_03,f
118,2026-03-02 17:29:15,368,40.0,1,15290.00,0.00,academ,card,ACA-20260302-00028,ACA_02,f
119,2026-03-02 17:35:06,255,39.0,1,4400.00,0.00,academ,sbp,ACA-20260302-00029,ACA_02,t
120,2026-03-02 17:38:00,79,35.0,1,13590.00,0.00,city_mall,card,CIT-20260302-01059,CIT_01,f
121,2026-03-02 17:42:30,159,42.0,1,7350.00,0.00,city_mall,card,CIT-20260302-01058,CIT_03,f
122,2026-03-02 17:50:09,328,44.0,1,17200.00,0.00,atmosphera,card,ATM-20260302-01534,ATM_06,f
123,2026-03-02 17:50:25,358,38.0,1,9800.00,0.00,nord,card,NOR-20260302-00562,NOR_06,f
124,2026-03-02 17:59:09,472,41.0,1,16000.00,0.00,radeo_drive,card,RAD-20260302-01967,RAD_04,f
125,2026-03-02 18:05:19,1,38.0,1,9050.00,0.00,nord,card,NOR-20260302-00564,NOR_03,f
126,2026-03-02 18:05:59,248,37.0,1,8090.00,0.00,academ,card,ACA-20260302-00030,ACA_02,f
127,2026-03-02 18:12:12,17,38.0,1,16045.50,844.50,academ,card,ACA-20260302-00027,ACA_06,f
128,2026-03-02 18:13:05,446,39.0,1,5625.00,625.00,nord,card,NOR-20260302-00552,NOR_03,f
129,2026-03-02 18:20:23,296,38.0,1,8920.50,469.50,nord,card,NOR-20260302-00548,NOR_06,f
130,2026-03-02 18:31:40,170,37.0,1,11750.00,0.00,nord,sbp,NOR-20260302-00558,NOR_03,f
131,2026-03-02 18:36:00,427,42.0,1,16800.00,0.00,nord,card,NOR-20260302-00550,NOR_03,f
132,2026-03-02 18:38:19,445,41.0,1,5912.00,1478.00,city_mall,cash,CIT-20260302-01062,CIT_03,f
133,2026-03-02 18:38:37,31,40.0,1,14790.00,0.00,atmosphera,card,ATM-20260302-01529,ATM_05,f
134,2026-03-02 18:40:35,145,40.0,1,5400.00,600.00,city_mall,sbp,CIT-20260302-01060,CIT_01,f
135,2026-03-02 18:49:05,281,37.0,1,8100.00,2700.00,atmosphera,card,ATM-20260302-01525,ATM_05,f
136,2026-03-02 19:07:17,218,39.0,1,7245.00,805.00,atmosphera,card,ATM-20260302-01530,ATM_05,f
137,2026-03-02 19:14:04,460,41.0,2,15930.00,1770.00,academ,cash,ACA-20260302-00019,ACA_06,f
138,2026-03-02 19:31:34,110,41.0,1,8250.00,0.00,city_mall,card,CIT-20260302-01057,CIT_01,f
139,2026-03-02 19:36:36,387,43.0,1,5850.00,0.00,academ,card,ACA-20260302-00023,ACA_06,f
140,2026-03-02 20:14:24,385,40.0,1,9890.00,0.00,nord,card,NOR-20260302-00547,NOR_03,f
141,2026-03-02 20:25:57,39,40.0,1,8585.00,1515.00,academ,card,ACA-20260302-00031,ACA_02,t
142,2026-03-02 20:44:38,308,39.0,1,10100.00,0.00,city_mall,card,CIT-20260302-01064,CIT_04,f
143,2026-03-02 20:50:35,317,41.0,1,4790.00,0.00,academ,card,ACA-20260302-00033,ACA_06,f
144,2026-03-02 21:14:04,49,38.0,1,5300.00,0.00,academ,card,ACA-20260302-00021,ACA_02,f
145,2026-03-03 10:02:00,455,40.0,1,11400.00,0.00,atmosphera,sbp,ATM-20260303-01536,ATM_03,f
146,2026-03-03 10:56:41,254,40.5,1,8160.50,429.50,atmosphera,card,ATM-20260303-01548,ATM_04,f
147,2026-03-03 11:00:23,337,44.0,1,15795.00,1755.00,radeo_drive,card,RAD-20260303-01972,RAD_06,f
148,2026-03-03 12:06:04,95,35.0,1,6982.50,367.50,academ,card,ACA-20260303-00042,ACA_06,f
149,2026-03-03 12:15:34,434,41.0,3,32370.00,0.00,atmosphera,sbp,ATM-20260303-01535,ATM_03,f
150,2026-03-03 12:36:39,407,41.0,1,11390.00,0.00,city_mall,sbp,CIT-20260303-01072,CIT_03,f
151,2026-03-03 12:46:40,64,39.0,1,4850.00,0.00,city_mall,card,CIT-20260303-01073,CIT_03,f
152,2026-03-03 12:59:50,259,40.0,1,8490.00,0.00,city_mall,cash,CIT-20260303-01071,CIT_03,f
153,2026-03-03 13:13:39,46,37.0,1,5000.00,0.00,atmosphera,card,ATM-20260303-01542,ATM_04,f
154,2026-03-03 13:24:13,435,39.0,1,4401.00,489.00,radeo_drive,card,RAD-20260303-01971,RAD_06,f
155,2026-03-03 13:59:42,384,41.0,1,15900.00,0.00,academ,cash,ACA-20260303-00045,ACA_06,f
156,2026-03-03 14:53:43,129,39.0,1,10850.00,0.00,atmosphera,card,ATM-20260303-01538,ATM_03,f
157,2026-03-03 14:57:44,102,36.0,1,5190.00,0.00,atmosphera,cash,ATM-20260303-01547,ATM_04,f
158,2026-03-03 15:07:56,473,41.0,1,17350.00,0.00,academ,card,ACA-20260303-00046,ACA_06,f
159,2026-03-03 15:13:37,105,37.0,1,8480.00,2120.00,atmosphera,cash,ATM-20260303-01539,ATM_04,f
160,2026-03-03 15:16:25,448,41.0,1,11490.00,0.00,academ,card,ACA-20260303-00040,ACA_06,f
161,2026-03-03 15:18:38,444,43.0,2,10880.00,2720.00,academ,card,ACA-20260303-00047,ACA_06,f
162,2026-03-03 15:21:07,446,42.0,1,5312.50,937.50,radeo_drive,card,RAD-20260303-01975,RAD_06,f
163,2026-03-03 15:26:22,360,42.0,2,8700.00,0.00,radeo_drive,cash,RAD-20260303-01974,RAD_06,f
164,2026-03-03 15:32:52,314,37.0,1,8200.00,0.00,radeo_drive,card,RAD-20260303-01973,RAD_06,f
165,2026-03-03 15:43:21,108,38.0,1,4450.00,0.00,atmosphera,card,ATM-20260303-01543,ATM_04,f
166,2026-03-03 15:48:59,261,41.0,2,15100.00,0.00,academ,sbp,ACA-20260303-00041,ACA_06,f
167,2026-03-03 16:01:58,19,38.0,1,7862.50,1387.50,atmosphera,card,ATM-20260303-01545,ATM_04,f
168,2026-03-03 16:02:39,179,40.0,1,7190.00,0.00,academ,card,ACA-20260303-00038,ACA_06,f
169,2026-03-03 16:08:46,128,38.0,1,5300.00,0.00,atmosphera,card,ATM-20260303-01541,ATM_04,f
170,2026-03-03 16:19:20,7,38.0,1,6350.00,0.00,city_mall,card,CIT-20260303-01066,CIT_03,f
171,2026-03-03 16:33:33,415,40.0,1,8117.50,1432.50,nord,card,NOR-20260303-00570,NOR_04,f
172,2026-03-03 16:36:40,379,42.0,1,10390.00,0.00,nord,card,NOR-20260303-00573,NOR_05,f
173,2026-03-03 16:39:38,457,40.0,1,9490.00,0.00,nord,card,NOR-20260303-00568,NOR_05,f
174,2026-03-03 16:40:33,466,43.0,1,7000.00,0.00,city_mall,card,CIT-20260303-01070,CIT_05,f
175,2026-03-03 16:51:27,427,42.0,1,16800.00,0.00,nord,card,NOR-20260303-00572,NOR_04,f
176,2026-03-03 16:54:11,226,40.0,1,7600.00,0.00,academ,card,ACA-20260303-00036,ACA_06,f
177,2026-03-03 16:57:09,237,38.0,1,15790.00,0.00,academ,sbp,ACA-20260303-00052,ACA_06,f
178,2026-03-03 17:04:19,215,40.0,1,8690.00,0.00,atmosphera,card,ATM-20260303-01540,ATM_06,f
179,2026-03-03 17:07:00,259,38.0,1,7641.00,849.00,nord,card,NOR-20260303-00569,NOR_05,f
180,2026-03-03 17:08:40,453,42.0,1,7300.00,0.00,academ,card,ACA-20260303-00050,ACA_07,f
181,2026-03-03 17:13:39,247,37.0,1,11592.00,2898.00,city_mall,cash,CIT-20260303-01069,CIT_05,f
182,2026-03-03 17:15:25,205,41.0,1,5350.00,0.00,academ,card,ACA-20260303-00037,ACA_06,f
183,2026-03-03 17:17:46,161,37.0,1,4990.00,0.00,nord,card,NOR-20260303-00571,NOR_05,t
184,2026-03-03 17:39:14,376,41.0,1,15290.00,0.00,city_mall,cash,CIT-20260303-01074,CIT_03,t
185,2026-03-03 17:44:55,85,38.0,2,8200.00,0.00,city_mall,sbp,CIT-20260303-01068,CIT_03,f
186,2026-03-03 17:45:19,60,40.0,1,5150.00,0.00,academ,cash,ACA-20260303-00044,ACA_06,f
187,2026-03-03 17:59:16,81,37.0,1,13000.00,0.00,academ,card,ACA-20260303-00039,ACA_06,f
188,2026-03-03 18:04:56,36,36.0,1,4640.00,1160.00,academ,card,ACA-20260303-00043,ACA_06,f
189,2026-03-03 18:10:00,88,36.0,1,3700.00,0.00,atmosphera,card,ATM-20260303-01537,ATM_06,f
190,2026-03-03 18:16:32,431,41.0,1,14050.00,0.00,academ,sbp,ACA-20260303-00048,ACA_07,f
191,2026-03-03 18:26:26,79,36.0,1,13590.00,0.00,city_mall,card,CIT-20260303-01076,CIT_05,f
192,2026-03-03 18:35:00,157,39.0,1,3640.00,910.00,academ,card,ACA-20260303-00051,ACA_06,f
193,2026-03-03 18:48:27,327,40.0,1,16900.50,889.50,city_mall,card,CIT-20260303-01067,CIT_05,f
194,2026-03-03 19:01:29,415,42.0,1,9072.50,477.50,city_mall,card,CIT-20260303-01075,CIT_05,f
195,2026-03-03 19:03:05,186,37.0,1,6381.00,709.00,academ,sbp,ACA-20260303-00049,ACA_07,f
196,2026-03-03 19:15:42,98,38.0,1,7490.00,0.00,atmosphera,card,ATM-20260303-01544,ATM_03,f
197,2026-03-03 20:29:47,7,39.0,1,6350.00,0.00,city_mall,cash,CIT-20260303-01065,CIT_03,f
198,2026-03-03 20:38:30,118,36.0,1,7150.00,0.00,atmosphera,card,ATM-20260303-01546,ATM_06,f
199,2026-03-04 10:39:59,151,38.0,1,4050.00,0.00,radeo_drive,sbp,RAD-20260304-01980,RAD_04,f
200,2026-03-04 10:47:59,56,38.0,1,4400.00,0.00,academ,card,ACA-20260304-00058,ACA_04,f
201,2026-03-04 10:54:36,331,43.0,1,10350.00,0.00,nord,card,NOR-20260304-00574,NOR_05,f
202,2026-03-04 11:01:07,279,37.0,2,14685.00,4895.00,academ,sbp,ACA-20260304-00064,ACA_04,f
203,2026-03-04 11:40:29,217,37.0,1,12390.00,0.00,city_mall,card,CIT-20260304-01082,CIT_03,f
204,2026-03-04 11:42:12,253,38.0,3,20100.00,0.00,academ,sbp,ACA-20260304-00062,ACA_04,f
205,2026-03-04 11:59:50,43,40.0,1,7690.00,0.00,academ,cash,ACA-20260304-00054,ACA_05,f
206,2026-03-04 12:09:27,168,41.0,1,8075.00,1425.00,academ,card,ACA-20260304-00053,ACA_05,f
207,2026-03-04 13:19:20,341,43.0,1,6210.00,690.00,nord,card,NOR-20260304-00582,NOR_05,f
208,2026-03-04 13:44:43,212,40.0,1,8450.00,0.00,radeo_drive,card,RAD-20260304-01977,RAD_02,f
209,2026-03-04 13:50:48,233,41.0,1,19450.00,0.00,city_mall,sbp,CIT-20260304-01088,CIT_03,f
210,2026-03-04 13:55:17,147,38.0,1,8960.00,2240.00,atmosphera,cash,ATM-20260304-01556,ATM_01,f
211,2026-03-04 14:06:24,458,44.0,1,9650.00,0.00,academ,card,ACA-20260304-00060,ACA_05,f
212,2026-03-04 14:07:32,476,41.0,1,10881.00,1209.00,nord,card,NOR-20260304-00580,NOR_07,f
213,2026-03-04 14:36:38,167,42.0,1,13775.00,725.00,city_mall,card,CIT-20260304-01087,CIT_03,f
214,2026-03-04 14:42:28,159,38.0,1,7350.00,0.00,atmosphera,card,ATM-20260304-01549,ATM_03,f
215,2026-03-04 15:16:59,118,41.0,1,7150.00,0.00,atmosphera,card,ATM-20260304-01558,ATM_03,f
216,2026-03-04 15:26:58,312,42.0,1,8790.00,0.00,nord,card,NOR-20260304-00579,NOR_07,f
217,2026-03-04 15:43:21,403,41.0,1,10050.00,0.00,city_mall,card,CIT-20260304-01079,CIT_03,f
218,2026-03-04 15:47:36,190,37.5,1,5320.00,280.00,atmosphera,cash,ATM-20260304-01557,ATM_03,f
219,2026-03-04 15:59:47,261,41.0,1,6795.00,755.00,city_mall,card,CIT-20260304-01083,CIT_02,f
220,2026-03-04 16:02:25,35,41.0,1,11900.00,0.00,nord,card,NOR-20260304-00581,NOR_05,f
221,2026-03-04 16:02:35,418,45.0,1,7790.00,0.00,nord,card,NOR-20260304-00578,NOR_07,f
222,2026-03-04 16:04:19,186,40.0,2,14180.00,0.00,city_mall,card,CIT-20260304-01078,CIT_03,t
223,2026-03-04 16:10:34,293,38.0,1,9350.00,0.00,radeo_drive,sbp,RAD-20260304-01976,RAD_02,f
224,2026-03-04 16:34:39,202,38.0,1,7550.00,0.00,atmosphera,card,ATM-20260304-01560,ATM_01,t
225,2026-03-04 16:36:50,385,37.0,1,9890.00,0.00,nord,cash,NOR-20260304-00583,NOR_02,f
226,2026-03-04 16:40:13,389,44.0,2,10200.00,0.00,city_mall,card,CIT-20260304-01077,CIT_02,f
227,2026-03-04 16:41:01,166,39.0,1,9562.50,3187.50,radeo_drive,sbp,RAD-20260304-01979,RAD_02,f
228,2026-03-04 16:51:51,42,38.0,1,12350.00,0.00,academ,sbp,ACA-20260304-00057,ACA_05,t
229,2026-03-04 17:17:22,251,38.0,1,7850.00,0.00,academ,card,ACA-20260304-00063,ACA_04,f
230,2026-03-04 17:23:02,385,40.0,1,9890.00,0.00,atmosphera,sbp,ATM-20260304-01554,ATM_01,f
231,2026-03-04 17:38:13,402,43.0,1,7550.00,0.00,atmosphera,card,ATM-20260304-01555,ATM_03,f
232,2026-03-04 17:42:24,78,37.0,1,7550.00,0.00,nord,card,NOR-20260304-00588,NOR_07,f
233,2026-03-04 17:42:55,60,39.0,1,5150.00,0.00,academ,card,ACA-20260304-00059,ACA_05,f
234,2026-03-04 17:46:57,70,39.0,1,6300.00,0.00,nord,card,NOR-20260304-00585,NOR_07,f
235,2026-03-04 17:52:38,91,37.0,1,4790.00,0.00,atmosphera,card,ATM-20260304-01550,ATM_01,f
236,2026-03-04 17:54:43,40,38.0,1,11690.00,0.00,atmosphera,card,ATM-20260304-01559,ATM_03,f
237,2026-03-04 18:00:14,271,39.0,2,9580.00,0.00,atmosphera,card,ATM-20260304-01552,ATM_03,f
238,2026-03-04 18:00:59,95,40.5,2,14700.00,0.00,nord,cash,NOR-20260304-00586,NOR_02,f
